,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.000516404999999942,2.0,20.0,20,0.1,190
1,1,0.006317123999999952,5.0,42.0,20,0.1,190
2,2,0.007520946000000084,6.0,64.0,20,0.1,190
3,3,0.008782717999999967,6.0,85.0,20,0.1,190
4,4,0.01028033000000006,6.0,106.0,20,0.1,190
5,5,0.011518386999999963,6.0,127.0,20,0.1,190
6,6,0.01271134500000004,6.0,148.0,20,0.1,190
7,7,0.014062843000000047,6.0,169.0,20,0.1,190
8,8,0.015371060999999964,6.0,190.0,20,0.1,190
9,9,0.01655890900000001,6.0,211.0,20,0.1,190
10,10,0.017754793000000157,6.0,232.0,20,0.1,190
11,11,0.022152967000000023,7.0,254.0,20,0.1,190
12,12,0.023392206000000026,7.0,275.0,20,0.1,190
13,13,0.024711287000000137,7.0,296.0,20,0.1,190
14,14,0.025940010000000013,7.0,317.0,20,0.1,190
15,15,0.02715799200000002,10.0,339.0,20,0.1,190
16,16,0.028377344000000138,11.0,361.0,20,0.1,190
17,17,0.029599507999999997,11.0,382.0,20,0.1,190
18,18,0.03092929199999994,11.0,403.0,20,0.1,190
19,19,0.03216574299999997,11.0,424.0,20,0.1,190
20,20,0.03338594900000014,11.0,445.0,20,0.1,190
21,21,0.03772617199999995,11.0,466.0,20,0.1,190
22,22,0.03899547299999995,11.0,487.0,20,0.1,190
23,23,0.040273471000000116,11.0,508.0,20,0.1,190
24,24,0.041713760000000155,11.0,529.0,20,0.1,190
25,25,0.04302810200000007,11.0,550.0,20,0.1,190
26,26,0.04434360200000009,11.0,571.0,20,0.1,190
27,27,0.045634264000000035,11.0,592.0,20,0.1,190
28,28,0.04694063200000009,11.0,613.0,20,0.1,190
29,29,0.048243570000000124,11.0,634.0,20,0.1,190
30,30,0.049537193000000146,11.0,655.0,20,0.1,190
31,31,0.05400856799999998,11.0,676.0,20,0.1,190
32,32,0.055303821000000086,11.0,697.0,20,0.1,190
33,33,0.05670986900000008,15.0,719.0,20,0.1,190
34,34,0.05802405300000002,15.0,740.0,20,0.1,190
35,35,0.05929504100000016,15.0,761.0,20,0.1,190
36,36,0.0605603480000001,15.0,782.0,20,0.1,190
37,37,0.06183939900000013,15.0,803.0,20,0.1,190
38,38,0.06311416199999997,15.0,824.0,20,0.1,190
39,39,0.06439367200000001,15.0,845.0,20,0.1,190
40,40,0.06567877200000005,15.0,866.0,20,0.1,190
41,41,0.11732149599999997,15.0,887.0,20,0.1,190
42,42,0.11877617600000012,15.0,908.0,20,0.1,190
43,43,0.12007432500000004,15.0,929.0,20,0.1,190
44,44,0.1213781570000001,15.0,950.0,20,0.1,190
45,45,0.12280213299999998,15.0,971.0,20,0.1,190
46,46,0.12414744900000008,15.0,992.0,20,0.1,190
47,47,0.12557668900000007,15.0,1013.0,20,0.1,190
48,48,0.12692368499999995,15.0,1034.0,20,0.1,190
49,49,0.128238085,15.0,1055.0,20,0.1,190
50,50,0.12954689900000016,15.0,1076.0,20,0.1,190
51,51,0.13430137600000003,15.0,1097.0,20,0.1,190
52,52,0.13561494600000001,15.0,1118.0,20,0.1,190
53,53,0.13689481199999998,15.0,1139.0,20,0.1,190
54,54,0.13820172500000005,15.0,1160.0,20,0.1,190
55,55,0.13948592100000012,15.0,1181.0,20,0.1,190
56,56,0.14076638600000013,15.0,1202.0,20,0.1,190
57,57,0.14205610300000004,15.0,1223.0,20,0.1,190
58,58,0.14344031000000013,15.0,1244.0,20,0.1,190
59,59,0.14501649500000013,16.0,1266.0,20,0.1,190
60,60,0.14633482899999994,16.0,1287.0,20,0.1,190
61,61,0.151282825,16.0,1308.0,20,0.1,190
62,62,0.15260035800000016,16.0,1329.0,20,0.1,190
63,63,0.15393886999999995,16.0,1350.0,20,0.1,190
64,64,0.15528994500000004,16.0,1371.0,20,0.1,190
65,65,0.15661911399999995,16.0,1392.0,20,0.1,190
66,66,0.15793992400000012,16.0,1413.0,20,0.1,190
67,67,0.15927156099999995,16.0,1434.0,20,0.1,190
68,68,0.16058846400000015,16.0,1455.0,20,0.1,190
69,69,0.16191988200000007,16.0,1476.0,20,0.1,190
70,70,0.163230231,16.0,1497.0,20,0.1,190
71,71,0.16795353700000004,16.0,1518.0,20,0.1,190
72,72,0.16929200700000013,16.0,1539.0,20,0.1,190
73,73,0.17061358400000004,16.0,1560.0,20,0.1,190
74,74,0.17197198700000005,16.0,1581.0,20,0.1,190
75,75,0.17328171700000006,16.0,1602.0,20,0.1,190
76,76,0.17458603500000014,16.0,1623.0,20,0.1,190
77,77,0.17611727499999996,16.0,1644.0,20,0.1,190
78,78,0.17757493000000002,16.0,1665.0,20,0.1,190
79,79,0.17891242399999996,16.0,1686.0,20,0.1,190
80,80,0.180239005,16.0,1707.0,20,0.1,190
81,81,0.18515452700000012,16.0,1728.0,20,0.1,190
82,82,0.18647296800000013,16.0,1749.0,20,0.1,190
83,83,0.18777950900000007,16.0,1770.0,20,0.1,190
84,84,0.18908360300000004,16.0,1791.0,20,0.1,190
85,85,0.19040256899999997,16.0,1812.0,20,0.1,190
86,86,0.19171832700000002,16.0,1833.0,20,0.1,190
87,87,0.19304642100000002,16.0,1854.0,20,0.1,190
88,88,0.19438116300000008,16.0,1875.0,20,0.1,190
89,89,0.19569108400000013,16.0,1896.0,20,0.1,190
90,90,0.19701974700000013,16.0,1917.0,20,0.1,190
91,91,0.20189084899999998,16.0,1938.0,20,0.1,190
92,92,0.20320546700000008,16.0,1959.0,20,0.1,190
93,93,0.204515338,16.0,1980.0,20,0.1,190
94,94,0.20583118599999994,16.0,2001.0,20,0.1,190
95,95,0.20716996500000007,16.0,2022.0,20,0.1,190
96,96,0.2084964760000001,16.0,2043.0,20,0.1,190
97,97,0.2098221090000001,16.0,2064.0,20,0.1,190
98,98,0.2111493980000001,16.0,2085.0,20,0.1,190
99,99,0.2124769740000001,16.0,2106.0,20,0.1,190
100,100,0.21381914199999996,16.0,2127.0,20,0.1,190
101,101,0.2187749830000001,16.0,2148.0,20,0.1,190
102,102,0.22010946900000006,16.0,2169.0,20,0.1,190
103,103,0.22142674100000015,16.0,2190.0,20,0.1,190
104,104,0.222738785,16.0,2211.0,20,0.1,190
105,105,0.22406386199999995,16.0,2232.0,20,0.1,190
106,106,0.22538948300000006,16.0,2253.0,20,0.1,190
107,107,0.22672347000000004,16.0,2274.0,20,0.1,190
108,108,0.22804096100000004,16.0,2295.0,20,0.1,190
109,109,0.229373606,16.0,2316.0,20,0.1,190
110,110,0.23070970000000002,16.0,2337.0,20,0.1,190
111,111,0.23569560200000006,16.0,2358.0,20,0.1,190
112,112,0.23703355999999998,16.0,2379.0,20,0.1,190
113,113,0.23836460299999995,16.0,2400.0,20,0.1,190
114,114,0.23970347199999997,16.0,2421.0,20,0.1,190
115,115,0.24103837900000014,16.0,2442.0,20,0.1,190
116,116,0.24235564200000015,16.0,2463.0,20,0.1,190
117,117,0.24383318900000006,16.0,2484.0,20,0.1,190
118,118,0.24514853400000014,16.0,2505.0,20,0.1,190
119,119,0.24645190500000003,16.0,2526.0,20,0.1,190
120,120,0.2477677060000001,16.0,2547.0,20,0.1,190
121,121,0.25287695200000004,16.0,2568.0,20,0.1,190
122,122,0.254193659,16.0,2589.0,20,0.1,190
123,123,0.2555673250000001,16.0,2610.0,20,0.1,190
124,124,0.2569372430000001,16.0,2631.0,20,0.1,190
125,125,0.25826691200000007,16.0,2652.0,20,0.1,190
126,126,0.259586216,16.0,2673.0,20,0.1,190
127,127,0.26091510399999995,16.0,2694.0,20,0.1,190
128,128,0.26223338100000015,16.0,2715.0,20,0.1,190
129,129,0.26357489200000006,16.0,2736.0,20,0.1,190
130,130,0.26489034700000014,16.0,2757.0,20,0.1,190
131,131,0.27005966000000003,16.0,2778.0,20,0.1,190
132,132,0.271386616,16.0,2799.0,20,0.1,190
133,133,0.27270664600000005,16.0,2820.0,20,0.1,190
134,134,0.2740492700000001,16.0,2841.0,20,0.1,190
135,135,0.2753997210000001,16.0,2862.0,20,0.1,190
136,136,0.2767277050000001,16.0,2883.0,20,0.1,190
137,137,0.2780771930000001,16.0,2904.0,20,0.1,190
138,138,0.27940709500000005,16.0,2925.0,20,0.1,190
139,139,0.28074768400000005,16.0,2946.0,20,0.1,190
140,140,0.28209510800000004,16.0,2967.0,20,0.1,190
141,141,0.2873087350000001,16.0,2988.0,20,0.1,190
142,142,0.2886618620000001,17.0,3010.0,20,0.1,190
143,143,0.289991267,17.0,3031.0,20,0.1,190
144,144,0.29132910199999995,17.0,3052.0,20,0.1,190
145,145,0.2926700740000001,17.0,3073.0,20,0.1,190
146,146,0.2940034760000001,17.0,3094.0,20,0.1,190
147,147,0.29536714200000014,17.0,3115.0,20,0.1,190
148,148,0.296702523,17.0,3136.0,20,0.1,190
149,149,0.298089501,17.0,3157.0,20,0.1,190
150,150,0.2994395460000001,17.0,3178.0,20,0.1,190
151,151,0.304723952,17.0,3199.0,20,0.1,190
152,152,0.30608691500000007,17.0,3220.0,20,0.1,190
153,153,0.30743262299999996,17.0,3241.0,20,0.1,190
154,154,0.308795849,17.0,3262.0,20,0.1,190
155,155,0.31035910599999994,17.0,3283.0,20,0.1,190
156,156,0.311711469,17.0,3304.0,20,0.1,190
157,157,0.31303457700000004,17.0,3325.0,20,0.1,190
158,158,0.31437888199999997,17.0,3346.0,20,0.1,190
159,159,0.31572501499999994,17.0,3367.0,20,0.1,190
160,160,0.31703689999999995,17.0,3388.0,20,0.1,190
161,161,0.322766804,17.0,3409.0,20,0.1,190
162,162,0.324075428,17.0,3430.0,20,0.1,190
163,163,0.3253789360000001,17.0,3451.0,20,0.1,190
164,164,0.32668948200000014,17.0,3472.0,20,0.1,190
165,165,0.32799621600000006,17.0,3493.0,20,0.1,190
166,166,0.32930875800000003,17.0,3514.0,20,0.1,190
167,167,0.33061498999999994,17.0,3535.0,20,0.1,190
168,168,0.33194307300000014,17.0,3556.0,20,0.1,190
169,169,0.3332646670000001,17.0,3577.0,20,0.1,190
170,170,0.3345791840000001,17.0,3598.0,20,0.1,190
171,171,0.339921154,17.0,3619.0,20,0.1,190
172,172,0.3412484470000001,17.0,3640.0,20,0.1,190
173,173,0.34256358900000006,17.0,3661.0,20,0.1,190
174,174,0.34386332500000005,17.0,3682.0,20,0.1,190
175,175,0.345157057,17.0,3703.0,20,0.1,190
176,176,0.3464608600000001,17.0,3724.0,20,0.1,190
177,177,0.34778846500000005,17.0,3745.0,20,0.1,190
178,178,0.34909658500000007,17.0,3766.0,20,0.1,190
179,179,0.35040944799999996,17.0,3787.0,20,0.1,190
180,180,0.35171767100000007,17.0,3808.0,20,0.1,190
181,181,0.357076363,17.0,3829.0,20,0.1,190
182,182,0.3584123080000001,17.0,3850.0,20,0.1,190
183,183,0.35974123199999997,17.0,3871.0,20,0.1,190
184,184,0.361065435,17.0,3892.0,20,0.1,190
185,185,0.36237133,17.0,3913.0,20,0.1,190
186,186,0.36368091199999997,17.0,3934.0,20,0.1,190
187,187,0.364998653,17.0,3955.0,20,0.1,190
188,188,0.36630995,17.0,3976.0,20,0.1,190
189,189,0.36761449700000015,17.0,3997.0,20,0.1,190
190,190,0.36893740099999994,19.0,4019.0,20,0.1,190
191,0,0.000516404999999942,2.0,40.0,40,0.1,190
192,1,0.006317123999999952,7.0,82.0,40,0.1,190
193,2,0.007520946000000084,12.0,124.0,40,0.1,190
194,3,0.008782717999999967,12.0,165.0,40,0.1,190
195,4,0.01028033000000006,12.0,206.0,40,0.1,190
196,5,0.011518386999999963,12.0,247.0,40,0.1,190
197,6,0.01271134500000004,12.0,288.0,40,0.1,190
198,7,0.014062843000000047,14.0,330.0,40,0.1,190
199,8,0.015371060999999964,14.0,371.0,40,0.1,190
200,9,0.01655890900000001,14.0,412.0,40,0.1,190
201,10,0.017754793000000157,15.0,454.0,40,0.1,190
202,11,0.022152967000000023,15.0,495.0,40,0.1,190
203,12,0.023392206000000026,15.0,536.0,40,0.1,190
204,13,0.024711287000000137,15.0,577.0,40,0.1,190
205,14,0.025940010000000013,15.0,618.0,40,0.1,190
206,15,0.02715799200000002,15.0,659.0,40,0.1,190
207,16,0.028377344000000138,15.0,700.0,40,0.1,190
208,17,0.029599507999999997,15.0,741.0,40,0.1,190
209,18,0.03092929199999994,15.0,782.0,40,0.1,190
210,19,0.03216574299999997,15.0,823.0,40,0.1,190
211,20,0.03338594900000014,18.0,865.0,40,0.1,190
212,21,0.03772617199999995,18.0,906.0,40,0.1,190
213,22,0.03899547299999995,18.0,947.0,40,0.1,190
214,23,0.040273471000000116,45.0,989.0,40,0.1,190
215,24,0.041713760000000155,45.0,1030.0,40,0.1,190
216,25,0.04302810200000007,45.0,1071.0,40,0.1,190
217,26,0.04434360200000009,45.0,1112.0,40,0.1,190
218,27,0.045634264000000035,48.0,1154.0,40,0.1,190
219,28,0.04694063200000009,48.0,1195.0,40,0.1,190
220,29,0.048243570000000124,48.0,1236.0,40,0.1,190
221,30,0.049537193000000146,48.0,1277.0,40,0.1,190
222,31,0.05400856799999998,48.0,1318.0,40,0.1,190
223,32,0.055303821000000086,48.0,1359.0,40,0.1,190
