,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.000574464999999913,2.0,20.0,False,20,0.1,190
1,1,0.322132074,5.0,42.0,False,20,0.1,190
2,2,0.6661179969999997,5.0,63.0,False,20,0.1,190
3,3,1.0078606620000001,5.0,84.0,False,20,0.1,190
4,4,1.3472800189999998,5.0,105.0,False,20,0.1,190
5,5,1.6871605399999998,5.0,126.0,False,20,0.1,190
6,6,2.027133273,5.0,147.0,False,20,0.1,190
7,7,2.373583782,5.0,168.0,False,20,0.1,190
8,8,2.715812063,5.0,189.0,False,20,0.1,190
9,9,3.0579277699999996,5.0,210.0,False,20,0.1,190
10,10,3.397594793,5.0,231.0,False,20,0.1,190
11,11,3.742382722,5.0,252.0,False,20,0.1,190
12,12,4.080620725999999,5.0,273.0,False,20,0.1,190
13,13,4.425556329999999,5.0,294.0,False,20,0.1,190
14,14,4.766132042000001,5.0,315.0,False,20,0.1,190
15,15,5.102907633999999,5.0,336.0,False,20,0.1,190
16,16,5.442850643,5.0,357.0,False,20,0.1,190
17,17,5.779775753999999,5.0,378.0,False,20,0.1,190
18,18,6.116358655999999,5.0,399.0,False,20,0.1,190
19,19,6.454910885,5.0,420.0,False,20,0.1,190
20,20,6.792863104,5.0,441.0,False,20,0.1,190
21,21,7.13511409,5.0,462.0,False,20,0.1,190
22,22,7.473895246,5.0,483.0,False,20,0.1,190
23,23,7.813322983999999,5.0,504.0,False,20,0.1,190
24,24,8.152400006999999,5.0,525.0,False,20,0.1,190
25,25,8.493226160999999,5.0,546.0,False,20,0.1,190
26,26,8.831990529999999,5.0,567.0,False,20,0.1,190
27,27,9.172462727,5.0,588.0,False,20,0.1,190
28,28,9.513454712,5.0,609.0,False,20,0.1,190
29,29,9.854145036,5.0,630.0,False,20,0.1,190
30,30,10.192014872,5.0,651.0,False,20,0.1,190
31,31,10.538567543,5.0,672.0,False,20,0.1,190
32,32,10.877821607,5.0,693.0,False,20,0.1,190
33,33,11.217849862,5.0,714.0,False,20,0.1,190
34,34,11.558581779999999,5.0,735.0,False,20,0.1,190
35,35,11.896718588999999,5.0,756.0,False,20,0.1,190
36,36,12.233873415,5.0,777.0,False,20,0.1,190
37,37,12.574934898999999,5.0,798.0,False,20,0.1,190
38,38,12.913612477,5.0,819.0,False,20,0.1,190
39,39,13.252978260999999,5.0,840.0,False,20,0.1,190
40,40,13.590645269,5.0,861.0,False,20,0.1,190
41,41,13.932987693,5.0,882.0,False,20,0.1,190
42,42,14.274560754,5.0,903.0,False,20,0.1,190
43,43,14.610922873,5.0,924.0,False,20,0.1,190
44,44,14.947679879999999,5.0,945.0,False,20,0.1,190
45,45,15.283871046999998,5.0,966.0,False,20,0.1,190
46,46,15.620404006000001,5.0,987.0,False,20,0.1,190
47,47,15.955859691,5.0,1008.0,False,20,0.1,190
48,48,16.293808381999998,5.0,1029.0,False,20,0.1,190
49,49,16.633594526,5.0,1050.0,False,20,0.1,190
50,50,16.973644436,5.0,1071.0,False,20,0.1,190
51,51,17.317845277,5.0,1092.0,False,20,0.1,190
52,52,17.656985707,5.0,1113.0,False,20,0.1,190
53,53,17.996218892999998,5.0,1134.0,False,20,0.1,190
54,54,18.334704008,5.0,1155.0,False,20,0.1,190
55,55,18.672380286,5.0,1176.0,False,20,0.1,190
56,56,19.01095672,5.0,1197.0,False,20,0.1,190
57,57,19.349838267,5.0,1218.0,False,20,0.1,190
58,58,19.687193007999998,5.0,1239.0,False,20,0.1,190
59,59,20.02669873,5.0,1260.0,False,20,0.1,190
60,60,20.363545529,5.0,1281.0,False,20,0.1,190
61,61,20.703615058,5.0,1302.0,False,20,0.1,190
62,62,21.04045315,5.0,1323.0,False,20,0.1,190
63,63,21.376891191,5.0,1344.0,False,20,0.1,190
64,64,21.713340067,5.0,1365.0,False,20,0.1,190
65,65,22.050340834,5.0,1386.0,False,20,0.1,190
66,66,22.386530411,5.0,1407.0,False,20,0.1,190
67,67,22.721118093,5.0,1428.0,False,20,0.1,190
68,68,23.057547546,5.0,1449.0,False,20,0.1,190
69,69,23.395730232,5.0,1470.0,False,20,0.1,190
70,70,23.732745342999998,5.0,1491.0,False,20,0.1,190
71,71,24.074450013,5.0,1512.0,False,20,0.1,190
72,72,24.413948546,5.0,1533.0,False,20,0.1,190
73,73,24.748397531,5.0,1554.0,False,20,0.1,190
74,74,25.088488534,5.0,1575.0,False,20,0.1,190
75,75,25.42777302,5.0,1596.0,False,20,0.1,190
76,76,25.768897623,5.0,1617.0,False,20,0.1,190
77,77,26.109615472999998,5.0,1638.0,False,20,0.1,190
78,78,26.449459916,5.0,1659.0,False,20,0.1,190
79,79,26.788085943,5.0,1680.0,False,20,0.1,190
80,80,27.12510863,5.0,1701.0,False,20,0.1,190
81,81,27.471893141,5.0,1722.0,False,20,0.1,190
82,82,27.810434847,5.0,1743.0,False,20,0.1,190
83,83,28.148650624,5.0,1764.0,False,20,0.1,190
84,84,28.485243049,5.0,1785.0,False,20,0.1,190
85,85,28.82335443,5.0,1806.0,False,20,0.1,190
86,86,29.159595672,5.0,1827.0,False,20,0.1,190
87,87,29.495640549,5.0,1848.0,False,20,0.1,190
88,88,29.833336319,5.0,1869.0,False,20,0.1,190
89,89,30.170274886999998,5.0,1890.0,False,20,0.1,190
90,90,30.506916320000002,5.0,1911.0,False,20,0.1,190
91,91,30.850008891,5.0,1932.0,False,20,0.1,190
92,92,31.185934623,5.0,1953.0,False,20,0.1,190
93,93,31.520180669,5.0,1974.0,False,20,0.1,190
94,94,31.856307235000003,5.0,1995.0,False,20,0.1,190
95,95,32.193104955,5.0,2016.0,False,20,0.1,190
96,96,32.530639339,5.0,2037.0,False,20,0.1,190
97,97,32.868994428,5.0,2058.0,False,20,0.1,190
98,98,33.207064849,5.0,2079.0,False,20,0.1,190
99,99,33.545325999,5.0,2100.0,False,20,0.1,190
100,100,33.884020071,5.0,2121.0,False,20,0.1,190
