,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.03325704500000004,65.0,400.0,400,0.1,190
1,1,0.08851639499999986,61.0,802.0,400,0.1,190
2,2,0.13926437800000002,61.0,1203.0,400,0.1,190
3,3,0.19058343300000002,59.0,1605.0,400,0.1,190
4,4,0.2410197759999999,59.0,2006.0,400,0.1,190
5,5,0.2924972669999999,59.0,2407.0,400,0.1,190
6,6,0.342963468,56.0,2809.0,400,0.1,190
7,7,0.3936583779999998,56.0,3210.0,400,0.1,190
8,8,0.44334708700000003,56.0,3611.0,400,0.1,190
9,9,0.4945720010000001,56.0,4012.0,400,0.1,190
10,10,0.5444277319999997,56.0,4413.0,400,0.1,190
11,11,0.5987882379999998,56.0,4814.0,400,0.1,190
12,12,0.6489522510000001,56.0,5215.0,400,0.1,190
13,13,0.6996167499999999,56.0,5616.0,400,0.1,190
14,14,0.750020532,56.0,6017.0,400,0.1,190
15,15,0.801656718,56.0,6418.0,400,0.1,190
16,16,0.8526743509999999,56.0,6819.0,400,0.1,190
17,17,0.9035180790000001,56.0,7220.0,400,0.1,190
18,18,0.9542568310000001,56.0,7621.0,400,0.1,190
19,19,1.0054632389999998,56.0,8022.0,400,0.1,190
20,20,1.0552476929999999,56.0,8423.0,400,0.1,190
21,21,1.1094902789999999,56.0,8824.0,400,0.1,190
22,22,1.1604120689999997,56.0,9225.0,400,0.1,190
23,23,1.210775037,55.0,9627.0,400,0.1,190
24,24,1.2616579759999997,54.0,10029.0,400,0.1,190
25,25,1.3128102859999997,53.0,10431.0,400,0.1,190
26,26,1.3639479929999998,53.0,10832.0,400,0.1,190
27,27,1.4143704679999998,52.0,11234.0,400,0.1,190
28,28,1.465095118,51.0,11636.0,400,0.1,190
29,29,1.514818302,51.0,12037.0,400,0.1,190
30,30,1.565566298,51.0,12438.0,400,0.1,190
31,31,1.618887721,51.0,12839.0,400,0.1,190
32,32,1.6696858989999999,51.0,13240.0,400,0.1,190
33,33,1.7201007419999998,51.0,13641.0,400,0.1,190
34,34,1.770931609,50.0,14043.0,400,0.1,190
35,35,1.822296758,50.0,14444.0,400,0.1,190
36,36,1.872915588,50.0,14845.0,400,0.1,190
37,37,1.923523477,50.0,15246.0,400,0.1,190
38,38,1.9732796949999998,50.0,15647.0,400,0.1,190
39,39,2.0237604119999997,50.0,16048.0,400,0.1,190
40,40,2.074003553,50.0,16449.0,400,0.1,190
41,41,2.127722391,50.0,16850.0,400,0.1,190
42,42,2.177505438,50.0,17251.0,400,0.1,190
43,43,2.2284630119999997,50.0,17652.0,400,0.1,190
44,44,2.2789882419999996,50.0,18053.0,400,0.1,190
45,45,2.3305349289999997,50.0,18454.0,400,0.1,190
46,46,2.3805045390000004,50.0,18855.0,400,0.1,190
47,47,2.4313765820000004,50.0,19256.0,400,0.1,190
48,48,2.480934287,50.0,19657.0,400,0.1,190
49,49,2.531563738,50.0,20058.0,400,0.1,190
50,50,2.580949381,50.0,20459.0,400,0.1,190
51,51,2.635098469,50.0,20860.0,400,0.1,190
52,52,2.6848446729999997,50.0,21261.0,400,0.1,190
53,53,2.735222585,50.0,21662.0,400,0.1,190
54,54,2.7851268989999998,50.0,22063.0,400,0.1,190
55,55,2.8361074990000006,50.0,22464.0,400,0.1,190
56,56,2.8860312190000004,50.0,22865.0,400,0.1,190
57,57,2.936037507,50.0,23266.0,400,0.1,190
58,58,2.986030111,50.0,23667.0,400,0.1,190
59,59,3.036120134,50.0,24068.0,400,0.1,190
60,60,3.086242916,50.0,24469.0,400,0.1,190
61,61,3.140887943,50.0,24870.0,400,0.1,190
62,62,3.191332503,50.0,25271.0,400,0.1,190
63,63,3.241310809,50.0,25672.0,400,0.1,190
64,64,3.292827451,50.0,26073.0,400,0.1,190
65,65,3.343483001,50.0,26474.0,400,0.1,190
66,66,3.394713252,50.0,26875.0,400,0.1,190
