,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.12489776599999991,280.0,400.0,False,400,0.1,23
1,1,1.5453803640000001,243.0,802.0,False,400,0.1,23
2,2,3.060049579,241.0,1204.0,False,400,0.1,23
3,3,4.581115635,231.0,1606.0,False,400,0.1,23
4,4,6.105928596,225.0,2008.0,False,400,0.1,23
5,5,7.692977502000001,220.0,2410.0,False,400,0.1,23
6,6,9.229891206000001,213.0,2812.0,False,400,0.1,23
7,7,10.776690295000002,210.0,3214.0,False,400,0.1,23
8,8,12.385929105999999,206.0,3616.0,False,400,0.1,23
9,9,13.928022927,205.0,4018.0,False,400,0.1,23
10,10,15.526111854,205.0,4419.0,False,400,0.1,23
11,11,17.087254704,205.0,4820.0,False,400,0.1,23
12,12,18.618611235,205.0,5221.0,False,400,0.1,23
13,13,20.198124226,205.0,5622.0,False,400,0.1,23
14,14,21.749891610000002,205.0,6023.0,False,400,0.1,23
15,15,23.30314805,205.0,6424.0,False,400,0.1,23
16,16,24.872064556,205.0,6825.0,False,400,0.1,23
17,17,26.479595102,205.0,7226.0,False,400,0.1,23
18,18,28.131512085,205.0,7627.0,False,400,0.1,23
19,19,29.824835554,205.0,8028.0,False,400,0.1,23
20,20,31.493796888,205.0,8429.0,False,400,0.1,23
21,21,33.13602616,205.0,8830.0,False,400,0.1,23
22,22,34.775638129,205.0,9231.0,False,400,0.1,23
23,23,36.453659059,205.0,9632.0,False,400,0.1,23
24,0,0.12489776599999991,280.0,800.0,False,800,0.1,23
25,1,1.5453803640000001,246.0,1602.0,False,800,0.1,23
26,2,3.060049579,241.0,2404.0,False,800,0.1,23
27,3,4.581115635,235.0,3206.0,False,800,0.1,23
28,4,6.105928596,228.0,4008.0,False,800,0.1,23
29,5,7.692977502000001,228.0,4809.0,False,800,0.1,23
30,6,9.229891206000001,220.0,5611.0,False,800,0.1,23
31,7,10.776690295000002,214.0,6413.0,False,800,0.1,23
32,8,12.385929105999999,211.0,7215.0,False,800,0.1,23
33,9,13.928022927,209.0,8017.0,False,800,0.1,23
34,10,15.526111854,208.0,8819.0,False,800,0.1,23
35,11,17.087254704,207.0,9621.0,False,800,0.1,23
36,12,18.618611235,207.0,10422.0,False,800,0.1,23
37,13,20.198124226,207.0,11223.0,False,800,0.1,23
38,14,21.749891610000002,207.0,12024.0,False,800,0.1,23
39,15,23.30314805,207.0,12825.0,False,800,0.1,23
40,16,24.872064556,207.0,13626.0,False,800,0.1,23
41,17,26.479595102,207.0,14427.0,False,800,0.1,23
42,18,28.131512085,207.0,15228.0,False,800,0.1,23
43,19,29.824835554,207.0,16029.0,False,800,0.1,23
44,20,31.493796888,207.0,16830.0,False,800,0.1,23
45,21,33.13602616,207.0,17631.0,False,800,0.1,23
46,22,34.775638129,207.0,18432.0,False,800,0.1,23
47,23,36.453659059,207.0,19233.0,False,800,0.1,23
48,0,0.12489776599999991,280.0,1600.0,False,1600,0.1,23
49,1,1.5453803640000001,244.0,3202.0,False,1600,0.1,23
50,2,3.060049579,236.0,4804.0,False,1600,0.1,23
51,3,4.581115635,234.0,6406.0,False,1600,0.1,23
52,4,6.105928596,234.0,8007.0,False,1600,0.1,23
53,5,7.692977502000001,224.0,9609.0,False,1600,0.1,23
54,6,9.229891206000001,219.0,11211.0,False,1600,0.1,23
55,7,10.776690295000002,212.0,12813.0,False,1600,0.1,23
56,8,12.385929105999999,210.0,14415.0,False,1600,0.1,23
57,9,13.928022927,207.0,16017.0,False,1600,0.1,23
58,10,15.526111854,203.0,17619.0,False,1600,0.1,23
59,11,17.087254704,203.0,19220.0,False,1600,0.1,23
60,12,18.618611235,203.0,20821.0,False,1600,0.1,23
61,13,20.198124226,202.0,22423.0,False,1600,0.1,23
62,14,21.749891610000002,202.0,24024.0,False,1600,0.1,23
63,15,23.30314805,202.0,25625.0,False,1600,0.1,23
64,16,24.872064556,202.0,27226.0,False,1600,0.1,23
65,17,26.479595102,202.0,28827.0,False,1600,0.1,23
66,18,28.131512085,202.0,30428.0,False,1600,0.1,23
67,19,29.824835554,202.0,32029.0,False,1600,0.1,23
68,20,31.493796888,202.0,33630.0,False,1600,0.1,23
69,21,33.13602616,202.0,35231.0,False,1600,0.1,23
70,22,34.775638129,202.0,36832.0,False,1600,0.1,23
71,23,36.453659059,202.0,38433.0,False,1600,0.1,23
72,0,0.12489776599999991,280.0,3200.0,False,3200,0.1,23
73,1,1.5453803640000001,234.0,6402.0,False,3200,0.1,23
74,2,3.060049579,232.0,9604.0,False,3200,0.1,23
75,3,4.581115635,229.0,12806.0,False,3200,0.1,23
76,4,6.105928596,229.0,16007.0,False,3200,0.1,23
77,5,7.692977502000001,227.0,19209.0,False,3200,0.1,23
78,6,9.229891206000001,225.0,22411.0,False,3200,0.1,23
79,7,10.776690295000002,219.0,25613.0,False,3200,0.1,23
80,8,12.385929105999999,213.0,28815.0,False,3200,0.1,23
81,9,13.928022927,213.0,32016.0,False,3200,0.1,23
82,10,15.526111854,209.0,35218.0,False,3200,0.1,23
83,11,17.087254704,206.0,38420.0,False,3200,0.1,23
84,12,18.618611235,204.0,41622.0,False,3200,0.1,23
85,13,20.198124226,202.0,44824.0,False,3200,0.1,23
86,14,21.749891610000002,202.0,48025.0,False,3200,0.1,23
87,15,23.30314805,202.0,51226.0,False,3200,0.1,23
88,16,24.872064556,202.0,54427.0,False,3200,0.1,23
89,17,26.479595102,202.0,57628.0,False,3200,0.1,23
90,18,28.131512085,202.0,60829.0,False,3200,0.1,23
91,19,29.824835554,202.0,64030.0,False,3200,0.1,23
92,20,31.493796888,202.0,67231.0,False,3200,0.1,23
93,21,33.13602616,202.0,70432.0,False,3200,0.1,23
94,22,34.775638129,202.0,73633.0,False,3200,0.1,23
95,23,36.453659059,202.0,76834.0,False,3200,0.1,23
96,0,0.12489776599999991,280.0,6400.0,False,6400,0.1,23
97,1,1.5453803640000001,234.0,12802.0,False,6400,0.1,23
98,2,3.060049579,233.0,19204.0,False,6400,0.1,23
99,3,4.581115635,227.0,25606.0,False,6400,0.1,23
100,4,6.105928596,227.0,32007.0,False,6400,0.1,23
101,5,7.692977502000001,224.0,38409.0,False,6400,0.1,23
102,6,9.229891206000001,216.0,44811.0,False,6400,0.1,23
103,7,10.776690295000002,213.0,51213.0,False,6400,0.1,23
104,8,12.385929105999999,208.0,57615.0,False,6400,0.1,23
105,9,13.928022927,203.0,64017.0,False,6400,0.1,23
106,10,15.526111854,199.0,70419.0,False,6400,0.1,23
107,11,17.087254704,197.0,76821.0,False,6400,0.1,23
108,12,18.618611235,197.0,83222.0,False,6400,0.1,23
109,13,20.198124226,197.0,89623.0,False,6400,0.1,23
110,14,21.749891610000002,197.0,96024.0,False,6400,0.1,23
111,15,23.30314805,197.0,102425.0,False,6400,0.1,23
112,16,24.872064556,197.0,108826.0,False,6400,0.1,23
113,17,26.479595102,197.0,115227.0,False,6400,0.1,23
114,18,28.131512085,197.0,121628.0,False,6400,0.1,23
115,19,29.824835554,197.0,128029.0,False,6400,0.1,23
116,20,31.493796888,197.0,134430.0,False,6400,0.1,23
117,21,33.13602616,197.0,140831.0,False,6400,0.1,23
118,22,34.775638129,197.0,147232.0,False,6400,0.1,23
119,23,36.453659059,197.0,153633.0,False,6400,0.1,23
120,0,0.12489776599999991,280.0,12800.0,False,12800,0.1,23
121,1,1.5453803640000001,233.0,25602.0,False,12800,0.1,23
122,2,3.060049579,226.0,38404.0,False,12800,0.1,23
123,3,4.581115635,226.0,51205.0,False,12800,0.1,23
124,4,6.105928596,221.0,64007.0,False,12800,0.1,23
125,5,7.692977502000001,221.0,76808.0,False,12800,0.1,23
126,6,9.229891206000001,220.0,89610.0,False,12800,0.1,23
127,7,10.776690295000002,213.0,102412.0,False,12800,0.1,23
128,8,12.385929105999999,211.0,115214.0,False,12800,0.1,23
129,9,13.928022927,209.0,128016.0,False,12800,0.1,23
130,10,15.526111854,205.0,140818.0,False,12800,0.1,23
131,11,17.087254704,205.0,153619.0,False,12800,0.1,23
132,12,18.618611235,204.0,166421.0,False,12800,0.1,23
133,13,20.198124226,202.0,179223.0,False,12800,0.1,23
134,14,21.749891610000002,198.0,192025.0,False,12800,0.1,23
135,15,23.30314805,197.0,204827.0,False,12800,0.1,23
136,16,24.872064556,197.0,217628.0,False,12800,0.1,23
137,17,26.479595102,197.0,230429.0,False,12800,0.1,23
138,18,28.131512085,197.0,243230.0,False,12800,0.1,23
139,19,29.824835554,197.0,256031.0,False,12800,0.1,23
140,20,31.493796888,197.0,268832.0,False,12800,0.1,23
141,21,33.13602616,197.0,281633.0,False,12800,0.1,23
142,22,34.775638129,197.0,294434.0,False,12800,0.1,23
143,23,36.453659059,197.0,307235.0,False,12800,0.1,23
