,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0016030209999999823,0.0,50.0,50,0.1,190
1,1,0.010248041000000097,182.0,102.0,50,0.1,190
2,2,0.013832378999999895,213.0,154.0,50,0.1,190
3,3,0.017359697000000063,213.0,205.0,50,0.1,190
4,4,0.021534919999999902,214.0,257.0,50,0.1,190
5,5,0.025307669999999893,214.0,308.0,50,0.1,190
6,6,0.029310877999999985,214.0,359.0,50,0.1,190
7,7,0.03319679800000008,214.0,410.0,50,0.1,190
8,8,0.036816391999999976,214.0,461.0,50,0.1,190
9,9,0.040465092000000036,214.0,512.0,50,0.1,190
10,10,0.04411818700000003,214.0,563.0,50,0.1,190
11,11,0.051136360999999964,214.0,614.0,50,0.1,190
12,12,0.05545504499999998,214.0,665.0,50,0.1,190
13,13,0.05915431399999993,214.0,716.0,50,0.1,190
14,14,0.06281051800000004,214.0,767.0,50,0.1,190
15,15,0.06666835199999999,214.0,818.0,50,0.1,190
16,16,0.07028411600000006,239.0,870.0,50,0.1,190
17,17,0.0738296169999999,239.0,921.0,50,0.1,190
18,18,0.07741115099999996,239.0,972.0,50,0.1,190
19,19,0.08098239299999999,239.0,1023.0,50,0.1,190
20,20,0.08453296199999993,239.0,1074.0,50,0.1,190
21,21,0.09217163900000003,239.0,1125.0,50,0.1,190
22,22,0.09583302900000001,239.0,1176.0,50,0.1,190
23,23,0.0997949170000001,241.0,1228.0,50,0.1,190
24,24,0.10339988399999989,252.0,1280.0,50,0.1,190
25,25,0.1069886069999999,252.0,1331.0,50,0.1,190
26,26,0.1105640699999999,252.0,1382.0,50,0.1,190
27,27,0.11412830799999996,252.0,1433.0,50,0.1,190
28,28,0.11768894200000002,252.0,1484.0,50,0.1,190
29,29,0.121717034,252.0,1535.0,50,0.1,190
30,30,0.1253011610000001,252.0,1586.0,50,0.1,190
31,31,0.1326283239999999,255.0,1638.0,50,0.1,190
32,32,0.13626790900000008,261.0,1690.0,50,0.1,190
33,33,0.13986423700000006,261.0,1741.0,50,0.1,190
34,34,0.14344691100000007,261.0,1792.0,50,0.1,190
35,35,0.14705026599999993,261.0,1843.0,50,0.1,190
36,36,0.15060685799999995,261.0,1894.0,50,0.1,190
37,37,0.1547109499999999,265.0,1946.0,50,0.1,190
38,38,0.158358239,265.0,1997.0,50,0.1,190
39,39,0.16205150999999995,266.0,2049.0,50,0.1,190
40,40,0.16584317399999993,275.0,2101.0,50,0.1,190
41,41,0.1729751690000001,275.0,2152.0,50,0.1,190
42,42,0.17657391899999997,275.0,2203.0,50,0.1,190
43,43,0.18025427699999996,275.0,2254.0,50,0.1,190
44,44,0.18377228200000006,275.0,2305.0,50,0.1,190
45,45,0.18801854399999995,278.0,2357.0,50,0.1,190
46,46,0.19168009100000005,284.0,2409.0,50,0.1,190
47,47,0.1953281,284.0,2460.0,50,0.1,190
48,48,0.1990800749999999,284.0,2511.0,50,0.1,190
49,49,0.20264137000000004,284.0,2562.0,50,0.1,190
50,50,0.20615322300000005,284.0,2613.0,50,0.1,190
51,51,0.2132560779999999,284.0,2664.0,50,0.1,190
52,52,0.21675574100000006,284.0,2715.0,50,0.1,190
53,53,0.22076156599999996,284.0,2766.0,50,0.1,190
54,54,0.224480848,286.0,2818.0,50,0.1,190
55,55,0.22811149899999994,286.0,2869.0,50,0.1,190
56,56,0.231956834,286.0,2920.0,50,0.1,190
57,57,0.23565292400000004,286.0,2971.0,50,0.1,190
58,58,0.23927458600000007,286.0,3022.0,50,0.1,190
59,59,0.24293697200000008,286.0,3073.0,50,0.1,190
60,60,0.24664798200000004,286.0,3124.0,50,0.1,190
61,61,0.254685767,286.0,3175.0,50,0.1,190
62,62,0.25832424099999995,292.0,3227.0,50,0.1,190
63,63,0.262080034,292.0,3278.0,50,0.1,190
64,64,0.2657841999999999,292.0,3329.0,50,0.1,190
65,65,0.2693866220000001,302.0,3381.0,50,0.1,190
66,66,0.27291605399999996,302.0,3432.0,50,0.1,190
67,67,0.27642622000000006,302.0,3483.0,50,0.1,190
68,68,0.280058626,302.0,3534.0,50,0.1,190
69,69,0.28365832699999993,302.0,3585.0,50,0.1,190
70,70,0.28746288099999995,302.0,3636.0,50,0.1,190
71,71,0.2947959419999999,302.0,3687.0,50,0.1,190
72,72,0.298572563,303.0,3739.0,50,0.1,190
73,73,0.30223581499999996,303.0,3790.0,50,0.1,190
74,74,0.3058234849999999,303.0,3841.0,50,0.1,190
