,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00012111800000003115,0.0,0.0,3200,1900,0
1,1,0.005061953000000008,0.0,1.0,3200,1900,0
2,2,0.005126587000000127,0.0,2.0,3200,1900,0
3,3,0.005169624000000095,0.0,3.0,3200,1900,0
4,4,0.005210727999999998,0.0,4.0,3200,1900,0
5,5,0.005251153000000119,0.0,5.0,3200,1900,0
6,6,0.005291681999999964,0.0,6.0,3200,1900,0
7,7,0.005331847999999972,0.0,7.0,3200,1900,0
8,8,0.0053715110000001065,0.0,8.0,3200,1900,0
9,9,0.005412262000000112,0.0,9.0,3200,1900,0
10,10,0.005452737000000152,0.0,10.0,3200,1900,0
11,11,0.0054943490000001205,0.0,11.0,3200,1900,0
12,12,0.005535198000000019,0.0,12.0,3200,1900,0
13,13,0.0055763470000000925,0.0,13.0,3200,1900,0
14,14,0.005617905000000034,0.0,14.0,3200,1900,0
15,15,0.005659964000000128,0.0,15.0,3200,1900,0
16,16,0.005702085000000023,0.0,16.0,3200,1900,0
17,17,0.0057457590000000724,0.0,17.0,3200,1900,0
18,18,0.0057886330000000985,0.0,18.0,3200,1900,0
19,19,0.005832127999999992,0.0,19.0,3200,1900,0
20,20,0.005875727000000053,0.0,20.0,3200,1900,0
21,21,0.005923416999999986,0.0,21.0,3200,1900,0
22,22,0.005968275000000078,0.0,22.0,3200,1900,0
23,23,0.006016372000000159,0.0,23.0,3200,1900,0
24,24,0.006062379000000062,0.0,24.0,3200,1900,0
25,25,0.006107497000000128,0.0,25.0,3200,1900,0
26,26,0.006155966000000124,0.0,26.0,3200,1900,0
27,27,0.006204770000000082,0.0,27.0,3200,1900,0
28,28,0.0062513730000000045,0.0,28.0,3200,1900,0
29,29,0.006297984000000145,0.0,29.0,3200,1900,0
30,30,0.006344287999999976,0.0,30.0,3200,1900,0
31,31,0.006391578999999981,0.0,31.0,3200,1900,0
32,32,0.006442188000000071,0.0,32.0,3200,1900,0
33,33,0.006490252000000085,0.0,33.0,3200,1900,0
34,34,0.006542025000000118,0.0,34.0,3200,1900,0
35,35,0.00659247400000007,0.0,35.0,3200,1900,0
36,36,0.006642777000000155,0.0,36.0,3200,1900,0
37,37,0.006691416000000006,0.0,37.0,3200,1900,0
38,38,0.006740246999999977,0.0,38.0,3200,1900,0
39,39,0.006791619999999998,0.0,39.0,3200,1900,0
40,40,0.006841915000000087,0.0,40.0,3200,1900,0
41,41,0.006894946000000068,0.0,41.0,3200,1900,0
42,42,0.00694504600000001,0.0,42.0,3200,1900,0
43,43,0.00699578199999995,0.0,43.0,3200,1900,0
44,44,0.007046831000000031,0.0,44.0,3200,1900,0
45,45,0.0070981060000001595,0.0,45.0,3200,1900,0
46,46,0.007151804000000039,0.0,46.0,3200,1900,0
47,47,0.007207573000000078,0.0,47.0,3200,1900,0
48,48,0.007261740999999988,0.0,48.0,3200,1900,0
49,49,0.007314209000000016,0.0,49.0,3200,1900,0
50,50,0.007366876000000078,0.0,50.0,3200,1900,0
51,51,0.007422009999999979,0.0,51.0,3200,1900,0
52,52,0.007478763000000166,0.0,52.0,3200,1900,0
53,53,0.007665193000000015,0.0,53.0,3200,1900,0
54,54,0.00773564800000015,0.0,54.0,3200,1900,0
55,55,0.007802129999999963,0.0,55.0,3200,1900,0
56,56,0.007863163999999978,0.0,56.0,3200,1900,0
57,57,0.007921257000000015,0.0,57.0,3200,1900,0
58,58,0.007978749000000063,0.0,58.0,3200,1900,0
59,59,0.008039813000000118,0.0,59.0,3200,1900,0
60,60,0.008103434000000131,0.0,60.0,3200,1900,0
61,61,0.008162627000000144,0.0,61.0,3200,1900,0
62,62,0.008220612000000127,0.0,62.0,3200,1900,0
63,63,0.008278565000000127,0.0,63.0,3200,1900,0
64,64,0.008337605000000137,0.0,64.0,3200,1900,0
65,65,0.008433679999999999,0.0,65.0,3200,1900,0
66,66,0.008634958000000026,0.0,66.0,3200,1900,0
67,67,0.008715001000000111,0.0,67.0,3200,1900,0
68,68,0.008781687000000149,0.0,68.0,3200,1900,0
69,69,0.008844666000000112,0.0,69.0,3200,1900,0
70,70,0.00890635800000017,0.0,70.0,3200,1900,0
71,71,0.008987948999999995,0.0,71.0,3200,1900,0
72,72,0.00904992800000004,0.0,72.0,3200,1900,0
73,73,0.009162883999999982,0.0,73.0,3200,1900,0
74,74,0.009250643999999975,0.0,74.0,3200,1900,0
75,75,0.009320489000000043,0.0,75.0,3200,1900,0
76,76,0.009385752000000025,0.0,76.0,3200,1900,0
77,77,0.009449488000000006,0.0,77.0,3200,1900,0
78,78,0.00951227500000007,0.0,78.0,3200,1900,0
79,79,0.009575088000000065,0.0,79.0,3200,1900,0
80,80,0.009638183000000078,0.0,80.0,3200,1900,0
81,81,0.00970098900000016,0.0,81.0,3200,1900,0
82,82,0.00976419900000014,0.0,82.0,3200,1900,0
83,83,0.00982765100000016,0.0,83.0,3200,1900,0
84,84,0.009891077000000026,0.0,84.0,3200,1900,0
85,85,0.009955007000000071,0.0,85.0,3200,1900,0
86,86,0.010019310000000115,0.0,86.0,3200,1900,0
