,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0001617729999452422,2.0,0.0,5,64,0
1,1,0.004238958000087223,2.0,1.0,5,64,0
2,2,0.008176341000080356,2.0,2.0,5,64,0
3,3,0.01221331600004305,2.0,3.0,5,64,0
4,4,0.012239446999956272,2.0,4.0,5,64,0
5,5,0.015433453000014197,2.0,5.0,5,64,0
6,1,0.004238958000087223,1.0,6.0,5,64,1
7,2,0.008176341000080356,1.0,7.0,5,64,1
8,3,0.01221331600004305,1.0,8.0,5,64,1
9,4,0.012239446999956272,1.0,9.0,5,64,1
10,5,0.015433453000014197,1.0,10.0,5,64,1
11,1,0.004238958000087223,5.0,12.0,5,64,2
12,2,0.008176341000080356,5.0,13.0,5,64,2
13,3,0.01221331600004305,5.0,14.0,5,64,2
14,4,0.012239446999956272,5.0,15.0,5,64,2
15,5,0.015433453000014197,5.0,16.0,5,64,2
16,6,0.018326758000057453,5.0,17.0,5,64,2
17,1,0.004238958000087223,2.0,18.0,5,64,3
18,2,0.008176341000080356,2.0,19.0,5,64,3
19,3,0.01221331600004305,2.0,20.0,5,64,3
20,4,0.012239446999956272,5.0,22.0,5,64,3
21,5,0.015433453000014197,5.0,23.0,5,64,3
22,6,0.018326758000057453,5.0,24.0,5,64,3
23,7,0.04161051699998097,5.0,25.0,5,64,3
24,8,0.04470885699993232,5.0,26.0,5,64,3
25,9,0.048784654999963095,5.0,27.0,5,64,3
26,1,0.004238958000087223,1.0,28.0,5,64,4
27,2,0.008176341000080356,1.0,29.0,5,64,4
28,3,0.01221331600004305,1.0,30.0,5,64,4
29,4,0.012239446999956272,1.0,31.0,5,64,4
30,5,0.015433453000014197,1.0,32.0,5,64,4
31,1,0.004238958000087223,1.0,33.0,5,64,5
32,2,0.008176341000080356,1.0,34.0,5,64,5
33,3,0.01221331600004305,1.0,35.0,5,64,5
34,4,0.012239446999956272,2.0,37.0,5,64,5
35,5,0.015433453000014197,2.0,38.0,5,64,5
36,6,0.018326758000057453,2.0,39.0,5,64,5
37,7,0.04161051699998097,2.0,40.0,5,64,5
