,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0,2.0,0,0.0001617729999452422,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
1,1,2.0,1,0.004238958000087223,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
2,2,2.0,2,0.008176341000080356,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
3,4,2.0,4,0.012239446999956272,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
4,8,2.0,5,0.015433453000014197,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
5,16,2.0,5,0.015433453000014197,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
6,32,2.0,5,0.015433453000014197,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
7,64,2.0,5,0.015433453000014197,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",5,64,0
8,0,1.0,5,0.018326758000057453,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,64,1
9,1,1.0,6,0.04161051699998097,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,64,1
10,2,1.0,7,0.04470885699993232,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",5,64,1
