,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2.0,0,0.00011916399989786441,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09999988023624966,0.1,128
1,2,2.0,4,0.003884487999812336,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09999609603530499,0.1,128
2,4,2.0,8,0.008211365999841291,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09999174764191437,0.1,128
3,6,2.0,12,0.011217120999845065,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,0.1,0.99,0.001,0.09998872705210876,0.1,128
4,8,6.0,16,0.014165118999926563,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09998576459299482,0.1,128
5,16,6.0,29,0.018089778999865302,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09998182081716732,0.1,128
6,32,8.0,58,0.02525563999984115,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997462045473227,0.1,128
7,64,36.0,101,0.02978864499982592,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.09997006589246137,0.1,128
8,128,36.0,165,0.03758548299992981,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,0.1,0.99,0.001,0.0999622324609947,0.1,128
9,0,2.0,0,8.19969998246961e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1.0,0.99,0.001,0.9999991759029524,1,128
10,2,2.0,4,0.0037650549998033966,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1.0,0.99,0.001,0.9999621606486714,1,128
11,4,2.0,8,0.008108530999834329,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1.0,0.99,0.001,0.999918509860675,1,128
12,6,2.0,12,0.0122219719999066,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1.0,0.99,0.001,0.9998771726205091,1,128
13,8,6.0,16,0.01587119900000289,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9998405018408363,1,128
14,16,3.0,30,0.019729706999896734,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9998017294765585,1,128
15,32,3.0,61,0.024303856999949858,"[1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9997557679041303,1,128
16,64,27.0,116,0.029853052999897045,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.9997000117965608,1,128
17,128,29.0,203,0.037950700999999754,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1.0,0.99,0.001,0.999618655439402,1,128
18,0,2.0,0,7.80179998400854e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,10.0,0.99,0.001,9.999992158932065,10,128
19,2,2.0,4,0.004487074999815377,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,10.0,0.99,0.001,9.999549044060888,10,128
20,4,2.0,8,0.008894598999859227,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,10.0,0.99,0.001,9.999106102882676,10,128
21,6,2.0,12,0.013347145999887289,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,10.0,0.99,0.001,9.998658656968257,10,128
22,8,6.0,16,0.017864724999981263,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,10.0,0.99,0.001,9.998204696313254,10,128
23,16,0.0,32,0.02305251299981137,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",geometric,10.0,0.99,0.001,9.997683413390972,10,128
24,32,2.0,64,0.028309169999829464,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",geometric,10.0,0.99,0.001,9.997155238047963,10,128
25,64,6.0,126,0.03430753999987246,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1]",geometric,10.0,0.99,0.001,9.99655257138175,10,128
26,128,0.0,254,0.04261141699998916,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",geometric,10.0,0.99,0.001,9.995718326377748,10,128
27,0,2.0,0,7.815999992999423e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,100.0,0.99,0.001,99.99992144660588,100,128
28,2,2.0,4,0.005361171000004106,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,100.0,0.99,0.001,99.99461198824676,100,128
29,4,2.0,8,0.011651000999790995,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,100.0,0.99,0.001,99.9882910382447,100,128
30,6,2.0,12,0.01700452199997926,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,100.0,0.99,0.001,99.98291134456429,100,128
31,8,6.0,16,0.022273280999797862,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,100.0,0.99,0.001,99.97761710988196,100,128
32,16,0.0,32,0.027745545999778187,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",geometric,100.0,0.99,0.001,99.97211868198843,100,128
33,32,2.0,64,0.03353637199984405,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]",geometric,100.0,0.99,0.001,99.9663004993671,100,128
34,64,2.0,128,0.04062992999979542,"[1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0]",geometric,100.0,0.99,0.001,99.95917389190424,100,128
35,128,3.0,256,0.050187986999844725,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1]",geometric,100.0,0.99,0.001,99.94957210662237,100,128
